  0.12591554E+00  0.62956105E+00  0.12591221E-02  0.10000000E+01  0.67064199E-01 -0.43201843E-02  0.65176937E+00  0.11726932E-03  0.65173131E+00  0.70441790E-02 -0.33946697E+00
  0.25183107E+00  0.12590223E+01  0.25180446E-02  0.10000000E+01  0.75559885E-01  0.15021903E-02  0.31439616E+00  0.14178484E-04  0.31432057E+00  0.68938368E-02 -0.68827330E-01
  0.37774661E+00  0.18882839E+01  0.37765678E-02  0.10000000E+01  0.11341000E+00  0.10326413E-01  0.58840473E+00  0.67000632E-03  0.58810729E+00  0.18718768E-01 -0.17180056E+00
  0.50366215E+00  0.25172462E+01  0.50344923E-02  0.10000000E+01  0.14507676E+00  0.19076444E-01  0.63156584E+00  0.22865186E-02  0.63105684E+00  0.25454124E-01 -0.16256974E+00
  0.62957769E+00  0.31458093E+01  0.62916186E-02  0.10000000E+01  0.17443454E+00  0.27805006E-01  0.68108827E+00  0.48576459E-02  0.68032852E+00  0.32525857E-01 -0.15882787E+00
  0.75549322E+00  0.37738737E+01  0.75477474E-02  0.10000000E+01  0.20265431E+00  0.36535017E-01  0.73270108E+00  0.83868430E-02  0.73166429E+00  0.39856928E-01 -0.15679901E+00
  0.88140876E+00  0.44013398E+01  0.88026795E-02  0.10000000E+01  0.23028026E+00  0.45280153E-01  0.78542624E+00  0.12882366E-01  0.78409861E+00  0.47431076E-01 -0.15560014E+00
  0.10073243E+01  0.50281080E+01  0.10056216E-01  0.10000000E+01  0.25759711E+00  0.54048148E-01  0.83878648E+00  0.18354456E-01  0.83716734E+00  0.55231151E-01 -0.15484153E+00
  0.11332398E+01  0.56540791E+01  0.11308158E-01  0.10000000E+01  0.28476346E+00  0.62842846E-01  0.89250982E+00  0.24813703E-01  0.89061233E+00  0.63239062E-01 -0.15432428E+00
  0.12591554E+01  0.62791537E+01  0.12558307E-01  0.10000000E+01  0.31187108E+00  0.71665562E-01  0.94642907E+00  0.32270144E-01  0.94428074E+00  0.71436924E-01 -0.15394040E+00
  0.13850709E+01  0.69032329E+01  0.13806466E-01  0.10000000E+01  0.33897388E+00  0.80515960E-01  0.10004322E+01  0.40732759E-01  0.99807544E+00  0.79807339E-01 -0.15362832E+00
  0.15109864E+01  0.75262175E+01  0.15052435E-01  0.10000000E+01  0.36610310E+00  0.89392615E-01  0.10544371E+01  0.50209184E-01  0.10519296E+01  0.88333384E-01 -0.15335137E+00
  0.16369020E+01  0.81480089E+01  0.16296018E-01  0.10000000E+01  0.39327583E+00  0.98293377E-01  0.11083784E+01  0.60705550E-01  0.11057934E+01  0.96998546E-01 -0.15308687E+00
  0.17628175E+01  0.87685085E+01  0.17537017E-01  0.10000000E+01  0.42049998E+00  0.10721561E+00  0.11622003E+01  0.72226394E-01  0.11596273E+01  0.10578667E+00 -0.15282038E+00
  0.18887331E+01  0.93876178E+01  0.18775236E-01  0.10000000E+01  0.44777741E+00  0.11615636E+00  0.12158534E+01  0.84774628E-01  0.12133978E+01  0.11468192E+00 -0.15254250E+00
  0.20146486E+01  0.10005239E+02  0.20010478E-01  0.10000000E+01  0.47510588E+00  0.12511247E+00  0.12692921E+01  0.98351523E-01  0.12670760E+01  0.12366878E+00 -0.15224699E+00
  0.21405641E+01  0.10621274E+02  0.21242547E-01  0.10000000E+01  0.50248035E+00  0.13408064E+00  0.13224733E+01  0.11295671E+00  0.13206351E+01  0.13273198E+00 -0.15192964E+00
  0.22664797E+01  0.11235624E+02  0.22471249E-01  0.10000000E+01  0.52989385E+00  0.14305747E+00  0.13753556E+01  0.12858816E+00  0.13740505E+01  0.14185646E+00 -0.15158752E+00
  0.23923952E+01  0.11848194E+02  0.23696388E-01  0.10000000E+01  0.55733804E+00  0.15203952E+00  0.14278989E+01  0.14524222E+00  0.14272986E+01  0.15102742E+00 -0.15121855E+00
  0.25183107E+01  0.12458885E+02  0.24917769E-01  0.10000000E+01  0.58480359E+00  0.16102330E+00  0.14800639E+01  0.16291359E+00  0.14803568E+01  0.16023032E+00 -0.15082127E+00
  0.26442263E+01  0.13067600E+02  0.26135201E-01  0.10000000E+01  0.61228055E+00  0.17000530E+00  0.15318130E+01  0.18159538E+00  0.15332039E+01  0.16945092E+00 -0.15039469E+00
  0.27701418E+01  0.13674244E+02  0.27348488E-01  0.10000000E+01  0.63975851E+00  0.17898204E+00  0.15831096E+01  0.20127914E+00  0.15858198E+01  0.17867534E+00 -0.14993822E+00
  0.28960574E+01  0.14278720E+02  0.28557440E-01  0.10000000E+01  0.66722685E+00  0.18795004E+00  0.16339187E+01  0.22195490E+00  0.16381854E+01  0.18789010E+00 -0.14945158E+00
  0.30219729E+01  0.14880932E+02  0.29761864E-01  0.10000000E+01  0.69467479E+00  0.19690591E+00  0.16842063E+01  0.24361127E+00  0.16902828E+01  0.19708207E+00 -0.14893471E+00
  0.31478884E+01  0.15480785E+02  0.30961570E-01  0.10000000E+01  0.72209158E+00  0.20584626E+00  0.17339400E+01  0.26623543E+00  0.17420950E+01  0.20623852E+00 -0.14838774E+00
  0.32738040E+01  0.16078183E+02  0.32156366E-01  0.10000000E+01  0.74946648E+00  0.21476781E+00  0.17830885E+01  0.28981326E+00  0.17936059E+01  0.21534710E+00 -0.14781092E+00
  0.33997195E+01  0.16673032E+02  0.33346065E-01  0.10000000E+01  0.77678893E+00  0.22366732E+00  0.18316220E+01  0.31432935E+00  0.18448004E+01  0.22439585E+00 -0.14720460E+00
  0.35256350E+01  0.17265238E+02  0.34530476E-01  0.10000000E+01  0.80404847E+00  0.23254162E+00  0.18795116E+01  0.33976706E+00  0.18956641E+01  0.23337318E+00 -0.14656921E+00
  0.36515506E+01  0.17854707E+02  0.35709413E-01  0.10000000E+01  0.83123487E+00  0.24138763E+00  0.19267299E+01  0.36610859E+00  0.19461834E+01  0.24226790E+00 -0.14590521E+00
  0.37774661E+01  0.18441344E+02  0.36882689E-01  0.10000000E+01  0.85833808E+00  0.25020234E+00  0.19732509E+01  0.39333502E+00  0.19963456E+01  0.25106921E+00 -0.14521312E+00
  0.39033817E+01  0.19025058E+02  0.38050117E-01  0.10000000E+01  0.88534829E+00  0.25898279E+00  0.20190496E+01  0.42142636E+00  0.20461384E+01  0.25976670E+00 -0.14449348E+00
  0.40292972E+01  0.19605756E+02  0.39211512E-01  0.10000000E+01  0.91225593E+00  0.26772613E+00  0.20641023E+01  0.45036165E+00  0.20955506E+01  0.26835036E+00 -0.14374686E+00
  0.41552127E+01  0.20183345E+02  0.40366690E-01  0.10000000E+01  0.93905164E+00  0.27642955E+00  0.21083869E+01  0.48011891E+00  0.21445712E+01  0.27681059E+00 -0.14297381E+00
  0.42811283E+01  0.20757734E+02  0.41515469E-01  0.10000000E+01  0.96572633E+00  0.28509033E+00  0.21518822E+01  0.51067532E+00  0.21931900E+01  0.28513819E+00 -0.14217493E+00
  0.44070438E+01  0.21328832E+02  0.42657665E-01  0.10000000E+01  0.99227113E+00  0.29370583E+00  0.21945685E+01  0.54200715E+00  0.22413977E+01  0.29332438E+00 -0.14135080E+00
  0.45329593E+01  0.21896549E+02  0.43793098E-01  0.10000000E+01  0.10186774E+01  0.30227346E+00  0.22364274E+01  0.57408992E+00  0.22891851E+01  0.30136079E+00 -0.14050204E+00
  0.46588749E+01  0.22460794E+02  0.44921588E-01  0.10000000E+01  0.10449369E+01  0.31079073E+00  0.22774418E+01  0.60689838E+00  0.23365439E+01  0.30923950E+00 -0.13962927E+00
  0.47847904E+01  0.23021478E+02  0.46042956E-01  0.10000000E+01  0.10710413E+01  0.31925519E+00  0.23175959E+01  0.64040661E+00  0.23834664E+01  0.31695299E+00 -0.13873311E+00
  0.49107060E+01  0.23578512E+02  0.47157024E-01  0.10000000E+01  0.10969829E+01  0.32766450E+00  0.23568755E+01  0.67458807E+00  0.24299454E+01  0.32449418E+00 -0.13781421E+00
  0.50366215E+01  0.24131808E+02  0.48263615E-01  0.10000000E+01  0.11227541E+01  0.33601637E+00  0.23952673E+01  0.70941561E+00  0.24759740E+01  0.33185640E+00 -0.13687321E+00
  0.51625370E+01  0.24681277E+02  0.49362555E-01  0.10000000E+01  0.11483474E+01  0.34430859E+00  0.24327597E+01  0.74486161E+00  0.25215461E+01  0.33903340E+00 -0.13591077E+00
  0.52884526E+01  0.25226834E+02  0.50453668E-01  0.10000000E+01  0.11737558E+01  0.35253903E+00  0.24693423E+01  0.78089795E+00  0.25666561E+01  0.34601936E+00 -0.13492755E+00
  0.54143681E+01  0.25768391E+02  0.51536782E-01  0.10000000E+01  0.11989724E+01  0.36070562E+00  0.25050059E+01  0.81749611E+00  0.26112986E+01  0.35280885E+00 -0.13392421E+00
  0.55402836E+01  0.26305863E+02  0.52611726E-01  0.10000000E+01  0.12239905E+01  0.36880637E+00  0.25397427E+01  0.85462721E+00  0.26554688E+01  0.35939688E+00 -0.13290142E+00
  0.56661992E+01  0.26839164E+02  0.53678328E-01  0.10000000E+01  0.12488038E+01  0.37683937E+00  0.25735462E+01  0.89226206E+00  0.26991624E+01  0.36577883E+00 -0.13185984E+00
  0.57921147E+01  0.27368210E+02  0.54736419E-01  0.10000000E+01  0.12734061E+01  0.38480277E+00  0.26064112E+01  0.93037119E+00  0.27423754E+01  0.37195051E+00 -0.13080015E+00
  0.59180302E+01  0.27892916E+02  0.55785832E-01  0.10000000E+01  0.12977916E+01  0.39269478E+00  0.26383336E+01  0.96892495E+00  0.27851042E+01  0.37790811E+00 -0.12972302E+00
  0.60439458E+01  0.28413201E+02  0.56826401E-01  0.10000000E+01  0.13219546E+01  0.40051370E+00  0.26693108E+01  0.10078935E+01  0.28273456E+01  0.38364821E+00 -0.12862911E+00
  0.61698613E+01  0.28928980E+02  0.57857960E-01  0.10000000E+01  0.13458895E+01  0.40825790E+00  0.26993411E+01  0.10472469E+01  0.28690968E+01  0.38916777E+00 -0.12751910E+00
  0.62957769E+01  0.29440173E+02  0.58880346E-01  0.10000000E+01  0.13695914E+01  0.41592580E+00  0.27284241E+01  0.10869551E+01  0.29103552E+01  0.39446413E+00 -0.12639365E+00
  0.64216924E+01  0.29946699E+02  0.59893397E-01  0.10000000E+01  0.13930551E+01  0.42351589E+00  0.27565608E+01  0.11269880E+01  0.29511187E+01  0.39953500E+00 -0.12525343E+00
  0.65476079E+01  0.30448476E+02  0.60896952E-01  0.10000000E+01  0.14162759E+01  0.43102674E+00  0.27837531E+01  0.11673157E+01  0.29913852E+01  0.40437844E+00 -0.12409911E+00
  0.66735235E+01  0.30945426E+02  0.61890853E-01  0.10000000E+01  0.14392493E+01  0.43845699E+00  0.28100040E+01  0.12079080E+01  0.30311531E+01  0.40899287E+00 -0.12293134E+00
  0.67994390E+01  0.31437470E+02  0.62874940E-01  0.10000000E+01  0.14619710E+01  0.44580532E+00  0.28353178E+01  0.12487352E+01  0.30704212E+01  0.41337704E+00 -0.12175078E+00
  0.69253545E+01  0.31924530E+02  0.63849059E-01  0.10000000E+01  0.14844369E+01  0.45307049E+00  0.28596997E+01  0.12897675E+01  0.31091882E+01  0.41753005E+00 -0.12055810E+00
  0.70512701E+01  0.32406528E+02  0.64813056E-01  0.10000000E+01  0.15066431E+01  0.46025132E+00  0.28831559E+01  0.13309752E+01  0.31474532E+01  0.42145132E+00 -0.11935394E+00
