% # columns="iteration, evaluation, void, void, void, xmean", seed=42, Tue Jun 24 11:27:20 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 24 0 0 0 0.7160182748763267 0.5907171048680605 0.5591716926050467 -0.1079073908398779
2 48 0 0 0 0.5953807091208878 0.6403650268364071 0.9176578939264873 0.0029894314789917237
3 72 0 0 0 0.6997145459911006 0.675624595374078 1.576975631222274 0.08442719880684443
4 96 0 0 0 0.6165219740039848 0.7259169321301807 2.540654990103807 0.19070454334375855
5 120 0 0 0 0.7613953045851044 0.6119721157308392 2.929702487320635 0.23844140727445068
6 144 0 0 0 0.43168923251013896 -0.033438417318759565 3.3974499147962307 0.1792732651207516
7 168 0 0 0 0.38184425049982595 0.7466884057929427 3.3478302961440587 0.29840655345952766
8 192 0 0 0 0.1379707934589181 0.9199497344949856 3.0041531959359324 0.15898185819761917
9 216 0 0 0 0.29465121888069934 0.3805551623138431 3.2459275268211574 0.16885752377714683
10 240 0 0 0 0.6952821052268363 0.35183375818893114 3.282890498594998 0.29550207098913944
11 264 0 0 0 1.3499425512109362 0.3985719072743077 3.227968209554878 0.37178272548309504
12 288 0 0 0 2.516721081968027 0.7608291182828639 3.6777378724659395 0.3719122117745129
