# time bound_circ lift drag moment
0.028690 0.060534 -1.902932 -0.027195 0.263695
0.043036 0.053897 -1.601458 -0.036431 0.136403
0.057381 0.055212 -1.576085 -0.049265 0.064164
0.071726 0.052421 -1.677293 -0.066211 0.097804
0.086071 0.047822 -1.751707 -0.084306 0.110328
0.100416 0.041588 -1.822962 -0.104023 0.120927
0.114761 0.034002 -1.890092 -0.125267 0.128722
0.129107 0.025238 -1.954479 -0.148040 0.134758
0.143452 0.015425 -2.016739 -0.172326 0.139490
0.157797 0.004663 -2.077265 -0.198109 0.143212
0.172142 -0.006970 -2.136310 -0.225367 0.146116
0.186487 -0.019406 -2.194044 -0.254078 0.148334
0.200832 -0.032589 -2.250589 -0.284216 0.149963
0.215178 -0.046471 -2.306032 -0.315753 0.151074
0.229523 -0.061008 -2.360436 -0.348660 0.151720
0.243868 -0.076161 -2.413850 -0.382902 0.151944
0.258213 -0.091896 -2.466315 -0.418446 0.151782
0.272558 -0.108180 -2.517869 -0.455256 0.151263
0.286903 -0.124983 -2.568550 -0.493294 0.150414
0.301249 -0.135805 -2.603961 -0.519708 0.153615
0.315594 -0.137119 -2.613895 -0.534021 0.126643
0.329939 -0.130882 -2.626467 -0.548639 0.068702
0.344284 -0.118361 -2.648011 -0.564396 0.017170
0.358629 -0.100851 -2.678024 -0.581349 -0.028092
0.372974 -0.079332 -2.716592 -0.599622 -0.068311
0.387320 -0.054567 -2.762932 -0.619217 -0.104039
0.401665 -0.027193 -2.815844 -0.640056 -0.135606
0.416010 0.002245 -2.874086 -0.662027 -0.163359
0.430355 0.033291 -2.935977 -0.684929 -0.187672
0.444700 0.065567 -2.999164 -0.708418 -0.208923
0.459046 0.098844 -3.071738 -0.733820 -0.227995
0.473391 0.132858 -3.137037 -0.758433 -0.244174
0.487736 0.167467 -3.200135 -0.783017 -0.258856
0.502081 0.202514 -3.260838 -0.807491 -0.270497
0.516426 0.238019 -3.328710 -0.833536 -0.281981
0.530771 0.274047 -3.398739 -0.860291 -0.294648
0.545117 0.310537 -3.455857 -0.884908 -0.308012
0.559462 0.347285 -3.525224 -0.912072 -0.315277
0.573807 0.383869 -3.518629 -0.924521 -0.322117
0.588152 0.420758 -3.660095 -0.966360 -0.326666
0.602497 0.457670 -3.666571 -0.981336 -0.336531
0.616842 0.494741 -3.766881 -1.015565 -0.341758
0.631188 0.531654 -3.784362 -1.032644 -0.347639
0.645533 0.568613 -3.870668 -1.064298 -0.353255
0.659878 0.605450 -3.934895 -1.091353 -0.352862
0.674223 0.641955 -3.958959 -1.109557 -0.355428
0.688568 0.678072 -4.038002 -1.139885 -0.351520
0.702913 0.713743 -4.079769 -1.161814 -0.350958
0.717259 0.748937 -4.144399 -1.188857 -0.346933
0.731604 0.783507 -4.173875 -1.207643 -0.343560
0.745949 0.817477 -4.254540 -1.238254 -0.335543
0.760294 0.850643 -4.286124 -1.257125 -0.329220
0.774639 0.882869 -4.325607 -1.277609 -0.320417
0.788984 0.914228 -4.423534 -1.312070 -0.305967
0.803330 0.944408 -4.413821 -1.320015 -0.302108
0.817675 0.973434 -4.501924 -1.351717 -0.284840
0.832020 1.001473 -4.560045 -1.375782 -0.272794
0.846365 1.028330 -4.539375 -1.379679 -0.267780
0.860710 1.054346 -4.644717 -1.415016 -0.244826
0.875055 1.079915 -4.645329 -1.423382 -0.239068
0.889401 1.104823 -4.612710 -1.422645 -0.234631
0.903746 1.128782 -4.729163 -1.459893 -0.206458
0.918091 1.151946 -4.741790 -1.469865 -0.200616
0.932436 1.174418 -4.714569 -1.468869 -0.200649
0.946781 1.195982 -4.811281 -1.499831 -0.174078
0.961127 1.216552 -4.822969 -1.507973 -0.160472
0.975472 1.236651 -4.811101 -1.509308 -0.159930
0.989817 1.256725 -4.816541 -1.514632 -0.151848
1.004162 1.276672 -4.820866 -1.519074 -0.135506
1.018507 1.296215 -4.851416 -1.529927 -0.118263
1.032852 1.315000 -4.810228 -1.521026 -0.111679
1.047198 1.332845 -4.836190 -1.529473 -0.092829
1.061543 1.349842 -4.852719 -1.534804 -0.074933
1.075888 1.366216 -4.857975 -1.536515 -0.061284
1.090233 1.382110 -4.873265 -1.540308 -0.046270
1.104578 1.397311 -4.837417 -1.529801 -0.036029
1.118923 1.411558 -4.864325 -1.535491 -0.014806
1.133269 1.425161 -4.826251 -1.523209 -0.007431
1.147614 1.438619 -4.833578 -1.522461 0.007719
1.161959 1.451985 -4.777824 -1.504344 0.013782
1.176304 1.464936 -4.783417 -1.501973 0.033461
1.190649 1.476944 -4.735879 -1.484979 0.046454
1.204994 1.486499 -4.761133 -1.486643 0.084040
1.219340 1.494606 -4.709744 -1.467606 0.098672
1.233685 1.504208 -4.680764 -1.453965 0.099628
