# time bound_circ lift drag moment
1.494912 0.661302 6.416858 -0.649678 -0.499946
1.509286 0.628654 6.393060 -0.571752 -0.532760
1.523660 0.598380 6.368515 -0.494207 -0.542026
1.538034 0.569412 6.329366 -0.416699 -0.535510
1.552408 0.541008 6.286596 -0.339995 -0.523006
1.566783 0.512044 6.239779 -0.264265 -0.495535
1.581157 0.481977 6.068136 -0.190419 -0.452956
1.595531 0.445878 5.863755 -0.121334 -0.361898
1.609905 0.386893 5.459361 -0.063236 -0.088232
1.624279 0.333482 5.400955 -0.000431 -0.131914
1.638653 0.314023 5.621045 0.075834 -0.456813
1.653028 0.296794 5.491190 0.134122 -0.453966
1.667402 0.280237 5.352238 0.188385 -0.453824
1.681776 0.268450 5.261962 0.243452 -0.517624
1.696150 0.260097 5.144905 0.293382 -0.531321
1.710524 0.245742 4.886217 0.324224 -0.388613
1.724898 0.225942 4.594270 0.344525 -0.286363
1.739272 0.204832 4.315745 0.359509 -0.237261
1.753647 0.181460 4.094895 0.376217 -0.166194
1.768021 0.151794 3.896124 0.390996 -0.067635
1.782395 0.122614 3.701101 0.401499 -0.072855
1.796769 0.109229 3.735047 0.448847 -0.248218
1.811143 0.102421 3.784669 0.499552 -0.286831
1.825517 0.091678 3.636582 0.510549 -0.207142
1.839891 0.082869 3.439742 0.507345 -0.206243
1.854266 0.076192 3.327931 0.518591 -0.211513
1.868640 0.066805 3.204528 0.524215 -0.156966
1.883014 0.056245 3.004901 0.507924 -0.110736
1.897388 0.046105 2.793768 0.484033 -0.073933
1.911762 0.035691 2.614891 0.463958 -0.033811
1.926136 0.024827 2.429954 0.438130 0.005434
1.940511 0.014820 2.268275 0.414860 0.023254
1.954885 0.005331 2.131477 0.395385 0.043988
1.969259 -0.004976 2.003119 0.375452 0.078479
1.983633 -0.017383 1.863234 0.349074 0.124338
1.998007 -0.033043 1.677698 0.304959 0.185260
2.012381 -0.053558 1.453559 0.244346 0.263047
2.026755 -0.084107 1.201107 0.169892 0.389614
2.041130 -0.127413 0.936832 0.090173 0.535086
2.055504 -0.167735 0.866391 0.077011 0.517316
2.069878 -0.193796 0.931393 0.113191 0.379842
2.084252 -0.204646 1.027689 0.162433 0.231926
2.098626 -0.215291 0.934868 0.141043 0.247426
2.113000 -0.228756 0.801217 0.101778 0.295808
2.127375 -0.244132 0.639303 0.049625 0.341047
2.141749 -0.261220 0.508008 0.008338 0.374200
2.156123 -0.279723 0.456477 -0.001937 0.390166
2.170497 -0.299476 0.410649 -0.010121 0.393604
2.184871 -0.320548 0.354388 -0.022713 0.396161
2.199245 -0.343521 0.282599 -0.042746 0.432634
2.213619 -0.370217 0.032519 -0.137988 0.525339
2.227994 -0.404199 -0.274533 -0.258692 0.662159
2.242368 -0.441613 -0.204296 -0.219516 0.635919
2.256742 -0.474764 -0.079184 -0.156353 0.540951
2.271116 -0.503569 -0.553929 -0.352679 0.667372
2.285490 -0.532230 -0.305698 -0.234716 0.548685
2.299864 -0.563076 -0.497482 -0.309116 0.606584
2.314239 -0.595728 -0.644582 -0.364074 0.646628
2.328613 -0.629512 -0.627081 -0.346545 0.618843
2.342987 -0.665088 -0.769970 -0.400082 0.656850
