% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=42, Mon Jun 30 15:27:57 2025, <python>{}</python>
1 24 0.6079066843808483 1 0 0.5747048600231794 1.0 1.0 1.0
2 48 0.5266890308931993 1 0 0.5747048600231794 1.0 1.0 1.0
3 72 0.567115444658169 1 0 0.5747048600231794 0.9831793126473769 1.0 1.0
4 96 0.5335455055458024 1 0 0.5747048600231794 0.9831793126473769 1.0 1.0
5 120 0.6300163813230379 1 0 0.5747048600231794 0.9831793126473769 1.0 1.0
6 144 0.6152962546727204 1 0 0.5747048600231794 0.9831793126473769 1.0 1.0
7 168 0.7114670590758995 1 0 0.5747048600231794 0.9831793126473769 1.0 1.0
8 192 0.7364247038264602 1 0 0.5747048600231794 0.9831793126473769 1.0 1.0
9 216 0.6440138971493844 1 0 0.5747048600231794 0.9831793126473769 1.0 1.0
10 240 0.6036008027513811 1 0 0.5747048600231794 0.9831793126473769 1.0 1.0
11 264 0.7718985424358822 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
12 288 0.7485032946821925 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
13 312 0.6276613171556693 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
14 336 0.5519221943402602 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
15 360 0.4956390595049973 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
16 384 0.4946092174424861 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
17 408 0.41566989357263373 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
18 432 0.4137098265111339 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
19 456 0.33695847348585056 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
20 480 0.36474199546752195 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
21 504 0.3074766823652325 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
22 528 0.30985797442232393 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
23 552 0.30875458230712927 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
24 576 0.33895598256273657 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
25 600 0.2954610682894195 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
26 624 0.25579463987638973 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
27 648 0.20550871622550465 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
28 672 0.2249196122744082 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
29 696 0.22268741030167713 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
30 720 0.20753983588312755 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
31 744 0.18578011539912354 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
32 768 0.20529354768709315 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
33 792 0.1912582927467161 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
34 816 0.1815928169407729 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
35 840 0.19343420859112653 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
36 864 0.17811473213195392 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
37 888 0.1725653193045105 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
38 912 0.14767475955001566 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
39 936 0.15643072668141111 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
40 960 0.1535067813841507 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
41 984 0.18540563007367064 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
42 1008 0.20097514808630806 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
43 1032 0.19818324615279037 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
44 1056 0.15231050775021582 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
45 1080 0.16743269129405938 1 0 0.51132233363564 0.9831793126473769 1.0 1.0
