  0.14289710E-01  0.71448524E-01  0.14289705E-03  0.10000000E+01  0.16815228E-01 -0.41060802E-02  0.16915493E+01  0.10593384E-03  0.16915481E+01  0.20034480E-02 -0.89748002E+00
  0.28579419E-01  0.14289690E+00  0.28579380E-03  0.10000000E+01  0.17417259E-01 -0.34728610E-02  0.17986758E+00  0.75780013E-04  0.17986721E+00  0.37281338E-03 -0.32405631E-01
  0.42869129E-01  0.21434499E+00  0.42868997E-03  0.10000000E+01  0.18372757E-01 -0.27070634E-02  0.26961879E+00  0.46044392E-04  0.26961707E+00  0.96260443E-03 -0.68162165E-01
  0.57158838E-01  0.28579264E+00  0.57158527E-03  0.10000000E+01  0.21862825E-01 -0.19112467E-02  0.30124397E+00  0.22951622E-04  0.30124033E+00  0.14796542E-02 -0.92558793E-01
  0.71448548E-01  0.35723970E+00  0.71447940E-03  0.10000000E+01  0.24699766E-01 -0.11209825E-02  0.29885089E+00  0.78954620E-05  0.29884513E+00  0.18554306E-02 -0.86002419E-01
  0.85738258E-01  0.42868604E+00  0.85737207E-03  0.10000000E+01  0.27393173E-01 -0.33023384E-03  0.30217557E+00  0.68520897E-06  0.30216712E+00  0.22601662E-02 -0.84526842E-01
  0.10002797E+00  0.50013150E+00  0.10002630E-02  0.10000000E+01  0.29959201E-01  0.46117593E-03  0.30566687E+00  0.13363282E-05  0.30565523E+00  0.26667781E-02 -0.83202650E-01
  0.11431768E+00  0.57157593E+00  0.11431519E-02  0.10000000E+01  0.32436630E-01  0.12537123E-02  0.30960449E+00  0.98758769E-05  0.30958918E+00  0.30786513E-02 -0.82266565E-01
  0.12860739E+00  0.64301921E+00  0.12860384E-02  0.10000000E+01  0.34849301E-01  0.20476606E-02  0.31382341E+00  0.26344855E-04  0.31380394E+00  0.34955610E-02 -0.81570166E-01
  0.14289710E+00  0.71446116E+00  0.14289223E-02  0.10000000E+01  0.37213816E-01  0.28432177E-02  0.31824434E+00  0.50792560E-04  0.31822023E+00  0.39175200E-02 -0.81041791E-01
  0.15718681E+00  0.78590166E+00  0.15718033E-02  0.10000000E+01  0.39542104E-01  0.36405219E-02  0.32281495E+00  0.83273568E-04  0.32278573E+00  0.43445100E-02 -0.80634628E-01
  0.17147652E+00  0.85734056E+00  0.17146811E-02  0.10000000E+01  0.41842984E-01  0.44396719E-02  0.32750013E+00  0.12384590E-03  0.32746532E+00  0.47765058E-02 -0.80317380E-01
  0.18576622E+00  0.92877770E+00  0.18575554E-02  0.10000000E+01  0.44123148E-01  0.52407387E-02  0.33227559E+00  0.17256984E-03  0.33223474E+00  0.52134806E-02 -0.80068498E-01
  0.20005593E+00  0.10002130E+01  0.20004259E-02  0.10000000E+01  0.46387775E-01  0.60437736E-02  0.33712404E+00  0.22950717E-03  0.33707668E+00  0.56554066E-02 -0.79872668E-01
