0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-02 1.000000000000000000e+00
1.000000000000000021e-03 9.996551687708085565e-06 1.499912515361432989e-02 1.000000000000000000e+00
2.000000000000000042e-03 3.993165456393029425e-05 1.499650421076510406e-02 1.000000000000000000e+00
3.000000000000000062e-03 8.972165608593641022e-05 1.499214143220218252e-02 1.000000000000000000e+00
4.000000000000000083e-03 1.592959992993105080e-04 1.498603858578687054e-02 1.000000000000000000e+00
5.000000000000000104e-03 2.485709761623317265e-04 1.497819780214715985e-02 1.000000000000000000e+00
6.000000000000000125e-03 3.574504581326618945e-04 1.496862154403344990e-02 1.000000000000000000e+00
7.000000000000000146e-03 4.858263227502563914e-04 1.495731259015062493e-02 1.000000000000000000e+00
8.000000000000000167e-03 6.335787915373450926e-04 1.494427402117609778e-02 1.000000000000000000e+00
9.000000000000001055e-03 8.005767207003490092e-04 1.492950920723785935e-02 1.000000000000000000e+00
1.000000000000000194e-02 9.866778629509037005e-04 1.491302179649542370e-02 1.000000000000000000e+00
1.100000000000000283e-02 1.191729110051735832e-03 1.489481570461423376e-02 1.000000000000000000e+00
1.200000000000000372e-02 1.415566721753893677e-03 1.487489510499329960e-02 1.000000000000000000e+00
1.300000000000000461e-02 1.658016544757480665e-03 1.485326441964399981e-02 1.000000000000000000e+00
1.400000000000000550e-02 1.918894224171010512e-03 1.482992831064156372e-02 1.000000000000000000e+00
1.500000000000000638e-02 2.198005409236122257e-03 1.480489167208662998e-02 1.000000000000000000e+00
1.600000000000000727e-02 2.495145954624731089e-03 1.477815962252553190e-02 1.000000000000000000e+00
1.700000000000000816e-02 2.810102118303047132e-03 1.474973749778642380e-02 1.000000000000000000e+00
1.800000000000000905e-02 3.142650756735869584e-03 1.471963084419478443e-02 1.000000000000000000e+00
1.900000000000000994e-02 3.492559518043167506e-03 1.468784541213703602e-02 1.000000000000000000e+00
2.000000000000001082e-02 3.859587033599854930e-03 1.465438714994507854e-02 1.000000000000000000e+00
2.100000000000001171e-02 4.243483108476685250e-03 1.461926219807801845e-02 1.000000000000000000e+00
2.200000000000001260e-02 4.643988911047322587e-03 1.458247688358011579e-02 1.000000000000000000e+00
2.300000000000001349e-02 5.060837162028610468e-03 1.454403771479641748e-02 1.000000000000000000e+00
2.400000000000001438e-02 5.493752323174079695e-03 1.450395137632951199e-02 1.000000000000000000e+00
2.500000000000001527e-02 5.942450785802269771e-03 1.446222472422259084e-02 1.000000000000000000e+00
2.600000000000001615e-02 6.406641059309523684e-03 1.441886478135547510e-02 1.000000000000000000e+00
2.700000000000001704e-02 6.886023959790202841e-03 1.437387873304156287e-02 1.000000000000000000e+00
2.800000000000001793e-02 7.380292798864709729e-03 1.432727392281476185e-02 1.000000000000000000e+00
2.900000000000001882e-02 7.889133572796473010e-03 1.427905784839645850e-02 1.000000000000000000e+00
3.000000000000001971e-02 8.412225151962578543e-03 1.422923815783344592e-02 1.000000000000000000e+00
3.100000000000002059e-02 8.949239470728478224e-03 1.417782264579846296e-02 1.000000000000000000e+00
3.200000000000002148e-02 9.499841717764908461e-03 1.412481925004571530e-02 1.000000000000000000e+00
3.300000000000002237e-02 1.006369052683430548e-02 1.407023604801429899e-02 1.000000000000000000e+00
3.400000000000002326e-02 1.064043816806464759e-02 1.401408125357301616e-02 1.000000000000000000e+00
3.500000000000002415e-02 1.122973073972026621e-02 1.395636321390052170e-02 1.000000000000000000e+00
3.600000000000002504e-02 1.183120836047190684e-02 1.389709040649517516e-02 1.000000000000000000e+00
3.700000000000002592e-02 1.244450536216175698e-02 1.383627143630935565e-02 1.000000000000000000e+00
3.800000000000002681e-02 1.306925048305343506e-02 1.377391503300332345e-02 1.000000000000000000e+00
3.900000000000002770e-02 1.370506706155176502e-02 1.371003004831403832e-02 1.000000000000000000e+00
4.000000000000002859e-02 1.435157323037256592e-02 1.364462545353461315e-02 1.000000000000000000e+00
4.100000000000002948e-02 1.500838211113860073e-02 1.357771033710032139e-02 1.000000000000000000e+00
4.200000000000003036e-02 1.567510200937413320e-02 1.350929390227732611e-02 1.000000000000000000e+00
4.300000000000003125e-02 1.635133660986724802e-02 1.343938546495048424e-02 1.000000000000000000e+00
4.400000000000003214e-02 1.703668517236611377e-02 1.336799445150676884e-02 1.000000000000000000e+00
4.500000000000003303e-02 1.773074272757272155e-02 1.329513039681102897e-02 1.000000000000000000e+00
4.600000000000003392e-02 1.843310027339523441e-02 1.322080294227095769e-02 1.000000000000000000e+00
4.700000000000003481e-02 1.914334497141792144e-02 1.314502183398826365e-02 1.000000000000000000e+00
4.800000000000003569e-02 1.986106034354570560e-02 1.306779692099320836e-02 1.000000000000000000e+00
4.900000000000003658e-02 2.058582646877863895e-02 1.298913815355972820e-02 1.000000000000000000e+00
5.000000000000003747e-02 2.131722018007003658e-02 1.290905558159853930e-02 1.000000000000000000e+00
5.100000000000003836e-02 2.205481526122059915e-02 1.282755935312565078e-02 1.000000000000000000e+00
5.200000000000003925e-02 2.279818264375962217e-02 1.274465971280385954e-02 1.000000000000000000e+00
5.300000000000004013e-02 2.354689060376320350e-02 1.266036700055484139e-02 1.000000000000000000e+00
5.400000000000004102e-02 2.430050495855847273e-02 1.257469165023956427e-02 1.000000000000000000e+00
